subsystem,reaction
FKYNH,FKYNH
FORMCOAtx,FORMCOAtx
FORtm,FORtm
FORtr,FORtr
FPGS2,FPGS2
FPGS2m,FPGS2m
FPGS3,FPGS3
FPGS4_1,FPGS4_1
FPGS4m_1,FPGS4m_1
FPGS5,FPGS5
FPGS5m,FPGS5m
FPGS6m,FPGS6m
FPGS7m_1,FPGS7m_1
FPGS8m,FPGS8m
FPGS9,FPGS9
FPGSm_1,FPGSm_1
FRDPtc,FRDPtc
FRDPtr,FRDPtr
FRUt1r,FRUt1r
FTHFDH,FTHFDH
FTHFLmi,FTHFLmi
FUC14GALACGLCGALGLUSIDEte,FUC14GALACGLCGALGLUSIDEte
FUC14GALACGLCGALGLUSIDEtg,FUC14GALACGLCGALGLUSIDEtg
FUCACGALFUCGALACGLCGALGLUSIDEte,FUCACGALFUCGALACGLCGALGLUSIDEte
FUCACNGAL14ACGLCGALGLUSIDEte,FUCACNGAL14ACGLCGALGLUSIDEte
FUCACNGAL14ACGLCGALGLUSIDEtg,FUCACNGAL14ACGLCGALGLUSIDEtg
FUCACNGALACGLCGALGLUSIDEte,FUCACNGALACGLCGALGLUSIDEte
FUCASE2ly,FUCASE2ly
FUCASEe,FUCASEe
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte,FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEte
FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg,FUCFUC132GALACGLCGAL14ACGLCGALGLUSIDEtg
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte,FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEte
FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg,FUCFUCFUCGALACGLC13GALACGLCGAL14ACGLCGALGLUSIDEtg
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte,FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEte
FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg,FUCFUCFUCGALACGLCGAL14ACGLCGALGLUSIDEtg
FUCGALFUCGALACGLCGALGLUSIDEtg,FUCGALFUCGALACGLCGALGLUSIDEtg
FUCGALGBSIDEte,FUCGALGBSIDEte
FUCGALGBSIDEtg,FUCGALGBSIDEtg
FUCtly,FUCtly
FUMAC,FUMAC
FUMSO4tm,FUMSO4tm
FUMtm,FUMtm
FUT15g,FUT15g
FUT16g,FUT16g
FUT32g,FUT32g
FUT911g,FUT911g
FUT91g,FUT91g
FUT94g,FUT94g
FUT96g,FUT96g
FUT97g,FUT97g
FUT99g,FUT99g
G14T20g,G14T20g
G14T21g,G14T21g
G14T2g,G14T2g
G14T5g,G14T5g
G5SDym,G5SDym
G6PDH1er,G6PDH1er
G6PDH2er,G6PDH2er
G6PPer,G6PPer
GABAVESSEC_1,GABAVESSEC_1
GACMTRc,GACMTRc
GACPAILter,GACPAILter
GALACGLCGALGBSIDEte,GALACGLCGALGBSIDEte
GALACGLCGALGBSIDEtg,GALACGLCGALGBSIDEtg
GALASE10ly,GALASE10ly
GALASE12ly,GALASE12ly
GALASE13ly,GALASE13ly
